Dis_trict,jan_lowest_PM2.5,jan_highest_PM2.5,jan_average_PM2.5,jan_day_exceeding_month,feb_lowest_PM2.5,feb_highest_PM2.5,feb_average_PM2.5,feb_day_exceeding_month,mar_lowest_PM2.5,mar_highest_PM2.5,mar_average_PM2.5,mar_day_exceeding_month,apr_lowest_PM2.5,apr_highest_PM2.5,apr_average_PM2.5,apr_day_exceeding_month,may_lowest_PM2.5,may_highest_PM2.5,may_average_PM2.5,may_day_exceeding_month,jun_lowest_PM2.5,jun_highest_PM2.5,jun_average_PM2.5,jun_day_exceeding_month,jul_lowest_PM2.5,jul_highest_PM2.5,jul_average_PM2.5,jul_day_exceeding_month,aug_lowest_PM2.5,aug_highest_PM2.5,aug_average_PM2.5,aug_day_exceeding_month,sep_lowest_PM2.5,sep_highest_PM2.5,sep_average_PM2.5,sep_day_exceeding_month,oct_lowest_PM2.5,oct_highest_PM2.5,oct_average_PM2.5,oct_day_exceeding_month,nov_lowest_PM2.5,nov_highest_PM2.5,nov_average_PM2.5,nov_day_exceeding_month,dec_lowest_PM2.5,dec_highest_PM2.5,dec_average_PM2.5,dec_day_exceeding_month,ปี
สวนสันติภาพ เขตราชเทวี,15.0,72.0,39.0,7.0,21.0,54.0,37.0,1.0,9.0,44.0,22.0,0.0,5.0,32.0,17.0,0.0,4.0,22.0,11.0,0.0,5.0,18.0,9.0,0.0,3.0,18.0,7.0,0.0,3.0,12.0,7.0,0.0,5.0,30.0,10.0,0.0,6.0,28.0,14.0,0.0,11.0,26.0,19.0,0.0,13.0,57.0,29.0,2.0,2564
สวนลุมพินี เขตปทุมวัน,20.0,88.0,49.0,11.0,17.0,48.0,33.0,0.0,6.0,38.0,19.0,0.0,6.0,23.0,14.0,0.0,5.0,20.0,10.0,0.0,4.0,17.0,8.0,0.0,4.0,17.0,7.0,0.0,4.0,13.0,7.0,0.0,4.0,28.0,8.0,0.0,4.0,24.0,11.0,0.0,7.0,21.0,15.0,0.0,10.0,52.0,25.0,1.0,2564
อุทยานเบญจสิริ เขตคลองเตย,20.0,79.0,44.0,8.0,22.0,57.0,39.0,4.0,9.0,44.0,23.0,0.0,6.0,29.0,17.0,0.0,4.0,24.0,12.0,0.0,5.0,19.0,10.0,0.0,4.0,16.0,8.0,0.0,4.0,15.0,8.0,0.0,5.0,30.0,10.0,0.0,5.0,27.0,14.0,0.0,12.0,27.0,20.0,0.0,13.0,59.0,31.0,3.0,2564
สวนเบญจกิติ เขตคลองเตย,19.0,104.0,47.0,9.0,20.0,53.0,37.0,3.0,10.0,39.0,22.0,0.0,6.0,27.0,16.0,0.0,4.0,23.0,11.0,0.0,4.0,19.0,9.0,0.0,4.0,16.0,8.0,0.0,4.0,14.0,7.0,0.0,5.0,30.0,10.0,0.0,5.0,29.0,14.0,0.0,11.0,25.0,19.0,0.0,13.0,57.0,29.0,3.0,2564
สวนสาธารณะเฉลิมพระเกียรติ 6 รอบพระชนมพรรษา เขตบางคอแหลม,15.0,94.0,38.0,7.0,18.0,57.0,37.0,2.0,6.0,43.0,19.0,0.0,4.0,27.0,15.0,0.0,3.0,21.0,10.0,0.0,4.0,17.0,8.0,0.0,3.0,12.0,7.0,0.0,4.0,16.0,8.0,0.0,6.0,35.0,11.0,0.0,4.0,33.0,14.0,0.0,12.0,26.0,19.0,0.0,11.0,54.0,28.0,2.0,2564
สวนรมณีย์ทุ่งสีกัน เขตดอนเมือง,19.0,77.0,41.0,7.0,24.0,61.0,38.0,2.0,8.0,39.0,23.0,0.0,6.0,30.0,17.0,0.0,3.0,23.0,10.0,0.0,4.0,16.0,8.0,0.0,3.0,13.0,6.0,0.0,5.0,15.0,8.0,0.0,5.0,21.0,11.0,0.0,6.0,27.0,15.0,0.0,11.0,32.0,20.0,0.0,15.0,63.0,33.0,3.0,2564
สวนกีฬารามอินทรา เขตบางเขน,15.0,72.0,39.0,7.0,25.0,60.0,41.0,7.0,10.0,52.0,25.0,1.0,6.0,31.0,19.0,0.0,6.0,26.0,12.0,0.0,6.0,17.0,9.0,0.0,4.0,14.0,8.0,0.0,5.0,16.0,8.0,0.0,5.0,20.0,11.0,0.0,5.0,27.0,14.0,0.0,10.0,29.0,18.0,0.0,12.0,56.0,29.0,1.0,2564
สวนวชิรเบญจทัศ เขตจตุจักร,14.0,72.0,37.0,7.0,21.0,57.0,38.0,2.0,9.0,43.0,23.0,0.0,5.0,29.0,17.0,0.0,3.0,23.0,11.0,0.0,5.0,19.0,8.0,0.0,3.0,15.0,7.0,0.0,4.0,14.0,7.0,0.0,4.0,24.0,9.0,0.0,5.0,28.0,12.0,0.0,10.0,25.0,18.0,0.0,13.0,58.0,30.0,3.0,2564
สวนจตุจักร เขตจตุจักร,14.0,70.0,37.0,7.0,23.0,54.0,38.0,2.0,10.0,44.0,24.0,0.0,6.0,29.0,17.0,0.0,5.0,23.0,12.0,0.0,6.0,19.0,9.0,0.0,4.0,18.0,8.0,0.0,5.0,15.0,9.0,0.0,6.0,27.0,11.0,0.0,5.0,28.0,14.0,0.0,11.0,31.0,19.0,0.0,13.0,57.0,30.0,2.0,2564
สวนสมเด็จพระนางเจ้าสิริกิติ์ฯ เขตจตุจักร,13.0,69.0,35.0,7.0,20.0,52.0,36.0,1.0,10.0,43.0,23.0,0.0,5.0,30.0,17.0,0.0,4.0,23.0,11.0,0.0,5.0,18.0,9.0,0.0,4.0,15.0,7.0,0.0,4.0,15.0,8.0,0.0,5.0,26.0,10.0,0.0,6.0,28.0,14.0,0.0,11.0,26.0,18.0,0.0,12.0,57.0,29.0,2.0,2564
